RestaurantID,Cuisine
Z8pm4rLTBki7OLgtbcTXEg,american
RI-tVET-wKFeRNKm4cg0wQ,american
ADEqtDQPRfZb-O3vD1bhTg,american
fxGpXRxFUDzlU3Cyszu4uQ,american
jFgLOxswrUC_c-iqMjBLyQ,american
e08qVeVYBR-0QI_G0NDZpw,american
btu15UOqTGVcVvkVNfHOYg,american
kFHCL2jLkAfoXm8dp3rylw,american
opyY8Zk2RqiwLu9SzkQXJA,american
Rx3m7vtf-eWBSQ4AavQl8g,american
9fydXI0fj2s-EmlF7vm8Og,american
B0IXsKwCk21hNQffYPJmHA,american
p9nYMrQbrPMzKBBBj73uFA,american
kwMkNIhhIexQk-nmloJlnw,american
uBxvonL-Cc-0OUz8PvsPsw,american
j1ICCFH6F0ka83Ih2gMS1Q,american
ClHBe70in3w1o3xWTzOrpw,american
WsuMDb2z0olGwlM19-VBnA,american
bwzSQq0sUEc3Dpzl6K3mvw,american
wpye6v-2fIx7Z2Sz12XubA,american
rhXVz4mtPVkJeObowGTKMg,american
u3iFoYMr4-jAeVlPOAoUlQ,american
QTVaZDiFElJ-d8vqd0DWww,american
bb4TLfMexv3XPy864A09ug,american
rOULM2AE_hLhsb4mcT9ucg,american
sxE9fpmUb_kqaf_a17dYKQ,american
vOitNGIQx7vEDgRT1W0JCQ,american
cctMMwaw7nwI1lbCQoxKyQ,american
2dow8yoP1KJocKOiMuWOkg,american
L_TG8AAIRmnjj67QRKvgkw,american
W5RSIwNKBa7k0jeAs5KDYg,american
-Fv6St_t9ScaH2088owNRQ,american
W4UAL78mPBHTdi8G_te9Ew,american
Okbtt-ISFB3kuoxkl2wVgg,american
mWS4umRg2AyykyAClMrIRw,american
AC6vUyOGt8WliqswigZlzQ,american
10ygrneSa65NHKQ4P7GBYw,american
ER0QElROYeuhtbktGTPhMA,american
r_Z12TcXqiZzH8_ztkKpKg,american
FLRx5tOBMMDJHEUYAAfa8A,american
MQWDSEo_zqH6vTLaYMr0jw,american
hr3cMFPXoPeL-_4v9C-_Nw,american
8cycOQsmOt0ptlrBlOWdFA,american
6MoQhCrCEpCTg4uF7PeqHg,american
9X4KGAxLzXHUw52ARcZGvQ,american
Bh-x-SPGBUWxmBrhODTkxA,american
P_WcaYX89ZmIE4nNVTqS9w,american
Zjs9BS1R-BB1L4P_TRF46g,american
CfWe636m2CAUg4FAdl_zVQ,american
PqtvahwtmGkGGDyvg1DRCw,american
HgYWATE7JMYXkwBxL10eVA,american
QzZlCAp7Qp7nBP7kRuGuNg,american
DEHWHskp2gSAkfdylc4SNA,american
yzWjUKaH1AJvSpBQLkuHHQ,american
2DWJ2BJmj0x_X_Yzh-_IuQ,american
naI718vRrMwqr42Ar90TgQ,american
3HtnHVbSHZPSy-HZEauyWQ,american
8G6H30Krmj8-OHs6hZfT1g,american
